HomeTeam,AwayTeam,Div,season,Date,FTR,FTHG,FTAG,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
Munich 1860,Union Berlin,D2,2010,03/10/10,H,1,0,0,0,D,,,,,,,,,,,,
Hertha,Aachen,D2,2010,04/10/10,D,0,0,0,0,D,,,,,,,,,,,,
Fortuna Dusseldorf,Augsburg,D2,2010,15/10/10,H,1,0,1,0,H,,,,,,,,,,,,
Greuther Furth,Osnabruck,D2,2010,15/10/10,H,3,0,2,0,H,,,,,,,,,,,,
Union Berlin,Erzgebirge Aue,D2,2010,15/10/10,D,1,1,1,1,D,,,,,,,,,,,,
Frankfurt FSV,Hertha,D2,2010,16/10/10,A,0,1,0,0,D,,,,,,,,,,,,
Karlsruhe,Bochum,D2,2010,16/10/10,A,0,2,0,2,A,,,,,,,,,,,,
Aachen,Ingolstadt,D2,2010,17/10/10,H,2,1,1,0,H,,,,,,,,,,,,
Cottbus,Paderborn,D2,2010,17/10/10,H,3,1,1,0,H,,,,,,,,,,,,
Oberhausen,Munich 1860,D2,2010,17/10/10,D,0,0,0,0,D,,,,,,,,,,,,
Bielefeld,Duisburg,D2,2010,18/10/10,A,1,3,0,3,A,,,,,,,,,,,,
Augsburg,Union Berlin,D2,2010,22/10/10,H,2,1,0,1,A,,,,,,,,,,,,
Hertha,Greuther Furth,D2,2010,22/10/10,H,2,0,0,0,D,,,,,,,,,,,,
Osnabruck,Cottbus,D2,2010,22/10/10,H,2,0,1,0,H,,,,,,,,,,,,
Ingolstadt,Frankfurt FSV,D2,2010,23/10/10,A,0,1,0,0,D,,,,,,,,,,,,
Munich 1860,Bielefeld,D2,2010,23/10/10,D,0,0,0,0,D,,,,,,,,,,,,
Bochum,Aachen,D2,2010,24/10/10,D,1,1,1,0,H,,,,,,,,,,,,
Duisburg,Karlsruhe,D2,2010,24/10/10,H,3,0,1,0,H,,,,,,,,,,,,
Paderborn,Fortuna Dusseldorf,D2,2010,24/10/10,H,3,0,0,0,D,,,,,,,,,,,,
Erzgebirge Aue,Oberhausen,D2,2010,25/10/10,H,2,0,0,0,D,,,,,,,,,,,,
Bielefeld,Union Berlin,D2,2010,29/10/10,A,1,2,0,0,D,,,,,,,,,,,,
Frankfurt FSV,Paderborn,D2,2010,29/10/10,H,2,0,0,0,D,,,,,,,,,,,,
Greuther Furth,Erzgebirge Aue,D2,2010,29/10/10,A,1,2,1,1,D,,,,,,,,,,,,
Hertha,Ingolstadt,D2,2010,30/10/10,H,3,1,1,1,D,,,,,,,,,,,,
Karlsruhe,Munich 1860,D2,2010,30/10/10,A,2,4,0,1,A,,,,,,,,,,,,
Aachen,Osnabruck,D2,2010,31/10/10,H,2,1,1,0,H,,,,,,,,,,,,
Cottbus,Bochum,D2,2010,31/10/10,H,2,1,0,1,A,,,,,,,,,,,,
Oberhausen,Augsburg,D2,2010,31/10/10,A,0,3,0,2,A,,,,,,,,,,,,
Fortuna Dusseldorf,Duisburg,D2,2010,01/11/10,H,1,0,0,0,D,,,,,,,,,,,,
Bochum,Frankfurt FSV,D2,2010,05/11/10,H,1,0,1,0,H,,,,,,,,,,,,
Erzgebirge Aue,Fortuna Dusseldorf,D2,2010,05/11/10,H,1,0,0,0,D,,,,,,,,,,,,
Ingolstadt,Cottbus,D2,2010,05/11/10,A,1,2,1,0,H,,,,,,,,,,,,
Augsburg,Bielefeld,D2,2010,06/11/10,H,3,0,1,0,H,,,,,,,,,,,,
Duisburg,Greuther Furth,D2,2010,06/11/10,H,2,0,1,0,H,,,,,,,,,,,,
Munich 1860,Aachen,D2,2010,07/11/10,H,2,1,1,1,D,,,,,,,,,,,,
Paderborn,Hertha,D2,2010,07/11/10,H,1,0,0,0,D,,,,,,,,,,,,
Union Berlin,Oberhausen,D2,2010,07/11/10,H,2,1,1,1,D,,,,,,,,,,,,
Osnabruck,Karlsruhe,D2,2010,08/11/10,D,0,0,0,0,D,,,,,,,,,,,,
Fortuna Dusseldorf,Oberhausen,D2,2010,12/11/10,H,3,0,0,0,D,,,,,,,,,,,,
Greuther Furth,Augsburg,D2,2010,12/11/10,D,1,1,1,1,D,,,,,,,,,,,,
Karlsruhe,Erzgebirge Aue,D2,2010,12/11/10,D,1,1,0,1,A,,,,,,,,,,,,
Bielefeld,Osnabruck,D2,2010,13/11/10,H,2,1,1,1,D,,,,,,,,,,,,
Frankfurt FSV,Union Berlin,D2,2010,13/11/10,H,2,1,1,1,D,,,,,,,,,,,,
Aachen,Duisburg,D2,2010,14/11/10,D,2,2,0,0,D,,,,,,,,,,,,
Cottbus,Munich 1860,D2,2010,14/11/10,D,0,0,0,0,D,,,,,,,,,,,,
Ingolstadt,Paderborn,D2,2010,14/11/10,A,1,2,0,1,A,,,,,,,,,,,,
Hertha,Bochum,D2,2010,15/11/10,H,2,0,1,0,H,,,,,,,,,,,,
Oberhausen,Bielefeld,D2,2010,19/11/10,H,3,0,2,0,H,,,,,,,,,,,,
Osnabruck,Hertha,D2,2010,19/11/10,H,2,0,1,0,H,,,,,,,,,,,,
Union Berlin,Fortuna Dusseldorf,D2,2010,19/11/10,H,1,0,0,0,D,,,,,,,,,,,,
Bochum,Ingolstadt,D2,2010,20/11/10,A,1,4,1,2,A,,,,,,,,,,,,
Paderborn,Greuther Furth,D2,2010,20/11/10,A,0,4,0,1,A,,,,,,,,,,,,
Augsburg,Karlsruhe,D2,2010,21/11/10,H,3,1,1,0,H,,,,,,,,,,,,
Erzgebirge Aue,Aachen,D2,2010,21/11/10,H,2,1,1,0,H,,,,,,,,,,,,
Munich 1860,Frankfurt FSV,D2,2010,21/11/10,D,3,3,1,1,D,,,,,,,,,,,,
Duisburg,Cottbus,D2,2010,22/11/10,D,2,2,1,1,D,,,,,,,,,,,,
