HomeTeam,AwayTeam,Div,season,Date,FTR,FTHG,FTAG,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
Bayern Munich,Wolfsburg,D1,2010,20/08/10,H,2,1,1.0,0.0,H,17.0,11.0,5.0,5.0,9.0,3.0,6.0,25.0,1.0,3.0,0.0,0.0
FC Koln,Kaiserslautern,D1,2010,21/08/10,A,1,3,1.0,0.0,H,10.0,17.0,4.0,6.0,5.0,6.0,10.0,25.0,1.0,2.0,1.0,0.0
Freiburg,St Pauli,D1,2010,21/08/10,A,1,3,0.0,0.0,D,9.0,17.0,3.0,7.0,3.0,6.0,12.0,13.0,0.0,0.0,0.0,0.0
Hamburg,Schalke 04,D1,2010,21/08/10,H,2,1,0.0,0.0,D,18.0,13.0,6.0,4.0,7.0,4.0,11.0,17.0,2.0,0.0,0.0,1.0
Hannover,Ein Frankfurt,D1,2010,21/08/10,H,2,1,1.0,1.0,D,13.0,17.0,7.0,3.0,2.0,6.0,9.0,14.0,0.0,1.0,0.0,0.0
Hoffenheim,Werder Bremen,D1,2010,21/08/10,H,4,1,4.0,1.0,H,10.0,10.0,7.0,2.0,5.0,5.0,24.0,16.0,1.0,2.0,0.0,0.0
M'gladbach,Nurnberg,D1,2010,21/08/10,D,1,1,1.0,1.0,D,12.0,10.0,5.0,5.0,6.0,5.0,15.0,18.0,1.0,1.0,0.0,0.0
Dortmund,Leverkusen,D1,2010,22/08/10,A,0,2,0.0,2.0,A,14.0,15.0,6.0,4.0,8.0,1.0,20.0,13.0,0.0,0.0,0.0,0.0
Mainz,Stuttgart,D1,2010,22/08/10,H,2,0,1.0,0.0,H,17.0,14.0,6.0,5.0,5.0,4.0,16.0,13.0,4.0,1.0,0.0,0.0
Kaiserslautern,Bayern Munich,D1,2010,27/08/10,H,2,0,2.0,0.0,H,11.0,20.0,2.0,3.0,7.0,7.0,24.0,13.0,0.0,1.0,1.0,0.0
