HomeTeam,AwayTeam,Div,season,Date,FTR,FTHG,FTAG,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
Ein Frankfurt,Hamburg,D1,2010,28/08/10,A,1,3,1.0,0.0,H,12.0,14.0,7.0,4.0,4.0,6.0,12.0,12.0,2.0,1.0,0.0,0.0
Nurnberg,Freiburg,D1,2010,28/08/10,A,1,2,1.0,1.0,D,17.0,5.0,4.0,3.0,4.0,2.0,12.0,28.0,2.0,1.0,0.0,0.0
Schalke 04,Hannover,D1,2010,28/08/10,A,1,2,0.0,1.0,A,15.0,11.0,5.0,4.0,15.0,1.0,10.0,22.0,2.0,2.0,0.0,0.0
St Pauli,Hoffenheim,D1,2010,28/08/10,A,0,1,0.0,0.0,D,12.0,8.0,4.0,3.0,5.0,9.0,16.0,16.0,2.0,0.0,0.0,0.0
Werder Bremen,FC Koln,D1,2010,28/08/10,H,4,2,2.0,1.0,H,17.0,11.0,9.0,5.0,6.0,7.0,14.0,18.0,1.0,2.0,0.0,0.0
Wolfsburg,Mainz,D1,2010,28/08/10,A,3,4,3.0,1.0,H,8.0,13.0,4.0,4.0,5.0,5.0,11.0,19.0,3.0,3.0,0.0,0.0
Leverkusen,M'gladbach,D1,2010,29/08/10,A,3,6,1.0,3.0,A,12.0,16.0,6.0,10.0,4.0,8.0,12.0,11.0,1.0,1.0,0.0,0.0
Stuttgart,Dortmund,D1,2010,29/08/10,A,1,3,0.0,3.0,A,11.0,16.0,5.0,9.0,7.0,3.0,16.0,18.0,0.0,2.0,0.0,0.0
Hoffenheim,Schalke 04,D1,2010,10/09/10,H,2,0,1.0,0.0,H,23.0,14.0,8.0,5.0,3.0,6.0,18.0,16.0,1.0,1.0,0.0,0.0
Bayern Munich,Werder Bremen,D1,2010,11/09/10,D,0,0,0.0,0.0,D,14.0,13.0,7.0,3.0,11.0,4.0,14.0,13.0,0.0,0.0,0.0,0.0
Dortmund,Wolfsburg,D1,2010,11/09/10,H,2,0,0.0,0.0,D,20.0,6.0,10.0,1.0,4.0,0.0,18.0,23.0,2.0,3.0,0.0,0.0
Freiburg,Stuttgart,D1,2010,11/09/10,H,2,1,0.0,1.0,A,19.0,18.0,5.0,8.0,6.0,7.0,20.0,17.0,1.0,1.0,0.0,0.0
Hamburg,Nurnberg,D1,2010,11/09/10,D,1,1,0.0,0.0,D,7.0,10.0,2.0,3.0,4.0,2.0,12.0,18.0,3.0,3.0,0.0,0.0
Hannover,Leverkusen,D1,2010,11/09/10,D,2,2,1.0,0.0,H,9.0,12.0,3.0,4.0,6.0,5.0,18.0,14.0,2.0,4.0,1.0,0.0
M'gladbach,Ein Frankfurt,D1,2010,11/09/10,A,0,4,0.0,2.0,A,16.0,11.0,5.0,6.0,9.0,6.0,18.0,12.0,3.0,2.0,0.0,0.0
FC Koln,St Pauli,D1,2010,12/09/10,H,1,0,1.0,0.0,H,15.0,11.0,6.0,1.0,6.0,10.0,19.0,15.0,3.0,3.0,0.0,0.0
Mainz,Kaiserslautern,D1,2010,12/09/10,H,2,1,0.0,1.0,A,16.0,10.0,5.0,4.0,2.0,7.0,12.0,25.0,1.0,5.0,0.0,0.0
Ein Frankfurt,Freiburg,D1,2010,17/09/10,A,0,1,0.0,0.0,D,10.0,17.0,3.0,5.0,4.0,4.0,13.0,17.0,1.0,2.0,0.0,0.0
Bayern Munich,FC Koln,D1,2010,18/09/10,D,0,0,0.0,0.0,D,21.0,8.0,4.0,2.0,10.0,1.0,10.0,20.0,0.0,1.0,0.0,0.0
Kaiserslautern,Hoffenheim,D1,2010,18/09/10,D,2,2,0.0,1.0,A,16.0,6.0,5.0,4.0,9.0,3.0,17.0,16.0,1.0,0.0,0.0,0.0
Stuttgart,M'gladbach,D1,2010,18/09/10,H,7,0,2.0,0.0,H,24.0,7.0,12.0,2.0,8.0,4.0,10.0,15.0,0.0,2.0,0.0,0.0
Werder Bremen,Mainz,D1,2010,18/09/10,A,0,2,0.0,0.0,D,12.0,11.0,4.0,7.0,5.0,6.0,11.0,10.0,1.0,1.0,0.0,0.0
Wolfsburg,Hannover,D1,2010,18/09/10,H,2,0,0.0,0.0,D,12.0,9.0,6.0,1.0,3.0,5.0,13.0,17.0,2.0,2.0,0.0,0.0
Leverkusen,Nurnberg,D1,2010,19/09/10,D,0,0,0.0,0.0,D,10.0,7.0,3.0,2.0,3.0,2.0,10.0,16.0,1.0,2.0,0.0,0.0
Schalke 04,Dortmund,D1,2010,19/09/10,A,1,3,0.0,1.0,A,8.0,23.0,1.0,11.0,4.0,10.0,16.0,15.0,0.0,3.0,1.0,0.0
St Pauli,Hamburg,D1,2010,19/09/10,D,1,1,0.0,0.0,D,7.0,10.0,3.0,2.0,6.0,5.0,19.0,15.0,2.0,2.0,0.0,0.0
Hannover,Werder Bremen,D1,2010,21/09/10,H,4,1,1.0,1.0,D,14.0,12.0,8.0,2.0,5.0,2.0,21.0,18.0,2.0,3.0,0.0,0.0
Hoffenheim,Bayern Munich,D1,2010,21/09/10,A,1,2,1.0,0.0,H,11.0,12.0,3.0,6.0,3.0,8.0,12.0,15.0,1.0,2.0,0.0,0.0
Mainz,FC Koln,D1,2010,21/09/10,H,2,0,0.0,0.0,D,20.0,8.0,7.0,2.0,9.0,1.0,17.0,21.0,3.0,3.0,0.0,0.0
Dortmund,Kaiserslautern,D1,2010,22/09/10,H,5,0,2.0,0.0,H,21.0,9.0,11.0,3.0,1.0,4.0,8.0,16.0,1.0,4.0,0.0,0.0
Freiburg,Schalke 04,D1,2010,22/09/10,A,1,2,0.0,1.0,A,8.0,7.0,1.0,6.0,7.0,2.0,16.0,12.0,3.0,3.0,1.0,0.0
Hamburg,Wolfsburg,D1,2010,22/09/10,A,1,3,1.0,1.0,D,19.0,8.0,7.0,4.0,15.0,1.0,10.0,15.0,0.0,0.0,0.0,0.0
Leverkusen,Ein Frankfurt,D1,2010,22/09/10,H,2,1,1.0,1.0,D,13.0,7.0,4.0,3.0,4.0,7.0,9.0,18.0,2.0,1.0,0.0,1.0
M'gladbach,St Pauli,D1,2010,22/09/10,A,1,2,1.0,0.0,H,16.0,11.0,5.0,5.0,2.0,7.0,18.0,17.0,1.0,2.0,1.0,0.0
Nurnberg,Stuttgart,D1,2010,22/09/10,H,2,1,1.0,0.0,H,11.0,9.0,3.0,2.0,0.0,5.0,17.0,17.0,3.0,3.0,1.0,0.0
FC Koln,Hoffenheim,D1,2010,24/09/10,D,1,1,1.0,0.0,H,13.0,13.0,6.0,4.0,8.0,9.0,16.0,20.0,3.0,1.0,0.0,0.0
Bayern Munich,Mainz,D1,2010,25/09/10,A,1,2,1.0,1.0,D,14.0,7.0,4.0,4.0,7.0,5.0,11.0,27.0,0.0,2.0,0.0,0.0
Ein Frankfurt,Nurnberg,D1,2010,25/09/10,H,2,0,1.0,0.0,H,12.0,15.0,4.0,1.0,7.0,5.0,17.0,14.0,4.0,1.0,0.0,0.0
Schalke 04,M'gladbach,D1,2010,25/09/10,D,2,2,0.0,2.0,A,22.0,11.0,8.0,6.0,11.0,2.0,18.0,23.0,1.0,4.0,0.0,1.0
St Pauli,Dortmund,D1,2010,25/09/10,A,1,3,1.0,1.0,D,11.0,11.0,2.0,6.0,9.0,3.0,12.0,20.0,0.0,0.0,0.0,0.0
Stuttgart,Leverkusen,D1,2010,25/09/10,A,1,4,0.0,2.0,A,6.0,16.0,1.0,9.0,3.0,7.0,24.0,26.0,2.0,1.0,1.0,0.0
Werder Bremen,Hamburg,D1,2010,25/09/10,H,3,2,2.0,0.0,H,15.0,13.0,7.0,5.0,3.0,7.0,19.0,16.0,2.0,2.0,0.0,0.0
Kaiserslautern,Hannover,D1,2010,26/09/10,A,0,1,0.0,1.0,A,19.0,5.0,5.0,2.0,7.0,4.0,18.0,20.0,0.0,3.0,0.0,0.0
Wolfsburg,Freiburg,D1,2010,26/09/10,H,2,1,1.0,1.0,D,13.0,15.0,5.0,5.0,5.0,3.0,13.0,17.0,1.0,2.0,0.0,0.0
Hannover,St Pauli,D1,2010,01/10/10,A,0,1,0.0,1.0,A,7.0,10.0,2.0,4.0,3.0,3.0,15.0,16.0,2.0,2.0,1.0,0.0
Freiburg,FC Koln,D1,2010,02/10/10,H,3,2,2.0,1.0,H,13.0,12.0,4.0,5.0,5.0,4.0,10.0,19.0,1.0,4.0,0.0,0.0
Hamburg,Kaiserslautern,D1,2010,02/10/10,H,2,1,0.0,1.0,A,12.0,8.0,5.0,2.0,8.0,7.0,13.0,29.0,1.0,2.0,0.0,0.0
Mainz,Hoffenheim,D1,2010,02/10/10,H,4,2,1.0,1.0,D,12.0,17.0,5.0,6.0,4.0,11.0,15.0,22.0,1.0,5.0,0.0,1.0
M'gladbach,Wolfsburg,D1,2010,02/10/10,D,1,1,0.0,1.0,A,26.0,11.0,8.0,2.0,5.0,3.0,9.0,15.0,2.0,2.0,0.0,0.0
Nurnberg,Schalke 04,D1,2010,02/10/10,H,2,1,0.0,0.0,D,10.0,6.0,4.0,2.0,5.0,5.0,11.0,22.0,1.0,3.0,0.0,1.0
Dortmund,Bayern Munich,D1,2010,03/10/10,H,2,0,0.0,0.0,D,13.0,9.0,3.0,2.0,1.0,8.0,17.0,17.0,0.0,3.0,0.0,0.0
Leverkusen,Werder Bremen,D1,2010,03/10/10,D,2,2,1.0,0.0,H,17.0,10.0,6.0,3.0,4.0,3.0,13.0,19.0,2.0,4.0,0.0,0.0
Stuttgart,Ein Frankfurt,D1,2010,03/10/10,A,1,2,0.0,1.0,A,13.0,12.0,5.0,3.0,6.0,3.0,16.0,15.0,2.0,4.0,1.0,0.0
FC Koln,Dortmund,D1,2010,15/10/10,A,1,2,0.0,1.0,A,16.0,20.0,5.0,5.0,4.0,2.0,24.0,17.0,2.0,4.0,0.0,0.0
Bayern Munich,Hannover,D1,2010,16/10/10,H,3,0,1.0,0.0,H,15.0,7.0,8.0,1.0,5.0,3.0,9.0,18.0,3.0,1.0,0.0,0.0
Mainz,Hamburg,D1,2010,16/10/10,A,0,1,0.0,0.0,D,13.0,12.0,5.0,4.0,7.0,4.0,14.0,14.0,1.0,3.0,0.0,0.0
Schalke 04,Stuttgart,D1,2010,16/10/10,D,2,2,1.0,1.0,D,16.0,10.0,5.0,6.0,7.0,3.0,16.0,13.0,0.0,3.0,0.0,0.0
St Pauli,Nurnberg,D1,2010,16/10/10,H,3,2,1.0,0.0,H,14.0,14.0,7.0,6.0,6.0,6.0,14.0,18.0,2.0,3.0,0.0,0.0
Werder Bremen,Freiburg,D1,2010,16/10/10,H,2,1,1.0,0.0,H,21.0,13.0,6.0,3.0,11.0,0.0,13.0,19.0,0.0,0.0,0.0,0.0
Wolfsburg,Leverkusen,D1,2010,16/10/10,A,2,3,1.0,0.0,H,9.0,16.0,5.0,5.0,5.0,7.0,14.0,15.0,1.0,5.0,0.0,0.0
Hoffenheim,M'gladbach,D1,2010,17/10/10,H,3,2,0.0,1.0,A,27.0,12.0,6.0,6.0,9.0,6.0,23.0,19.0,1.0,3.0,0.0,2.0
Kaiserslautern,Ein Frankfurt,D1,2010,17/10/10,A,0,3,0.0,1.0,A,10.0,9.0,3.0,6.0,4.0,2.0,18.0,16.0,1.0,3.0,0.0,0.0
Hamburg,Bayern Munich,D1,2010,22/10/10,D,0,0,0.0,0.0,D,16.0,11.0,3.0,1.0,5.0,2.0,7.0,13.0,1.0,2.0,0.0,0.0
Ein Frankfurt,Schalke 04,D1,2010,23/10/10,D,0,0,0.0,0.0,D,17.0,5.0,1.0,2.0,8.0,5.0,11.0,19.0,2.0,1.0,0.0,0.0
Freiburg,Kaiserslautern,D1,2010,23/10/10,H,2,1,1.0,1.0,D,13.0,17.0,5.0,2.0,6.0,7.0,18.0,15.0,2.0,1.0,0.0,0.0
Hannover,FC Koln,D1,2010,23/10/10,H,2,1,2.0,0.0,H,8.0,9.0,4.0,2.0,3.0,11.0,15.0,18.0,1.0,1.0,0.0,0.0
M'gladbach,Werder Bremen,D1,2010,23/10/10,A,1,4,0.0,2.0,A,17.0,14.0,9.0,7.0,3.0,3.0,16.0,19.0,2.0,2.0,0.0,0.0
Nurnberg,Wolfsburg,D1,2010,23/10/10,H,2,1,1.0,1.0,D,17.0,8.0,4.0,2.0,4.0,4.0,12.0,15.0,1.0,3.0,0.0,0.0
Dortmund,Hoffenheim,D1,2010,24/10/10,D,1,1,0.0,1.0,A,17.0,9.0,4.0,5.0,8.0,3.0,8.0,31.0,1.0,3.0,0.0,1.0
Leverkusen,Mainz,D1,2010,24/10/10,A,0,1,0.0,0.0,D,16.0,10.0,2.0,4.0,9.0,3.0,16.0,20.0,0.0,1.0,0.0,0.0
Stuttgart,St Pauli,D1,2010,24/10/10,H,2,0,1.0,0.0,H,15.0,17.0,7.0,5.0,5.0,4.0,16.0,19.0,3.0,2.0,0.0,0.0
Bayern Munich,Freiburg,D1,2010,29/10/10,H,4,2,1.0,0.0,H,16.0,6.0,5.0,2.0,4.0,1.0,8.0,12.0,0.0,3.0,0.0,0.0
FC Koln,Hamburg,D1,2010,30/10/10,H,3,2,2.0,2.0,D,8.0,11.0,3.0,4.0,6.0,3.0,21.0,22.0,2.0,1.0,0.0,0.0
Kaiserslautern,M'gladbach,D1,2010,30/10/10,H,3,0,0.0,0.0,D,14.0,13.0,5.0,3.0,9.0,4.0,22.0,15.0,2.0,1.0,0.0,0.0
Schalke 04,Leverkusen,D1,2010,30/10/10,A,0,1,0.0,0.0,D,7.0,11.0,4.0,3.0,5.0,5.0,21.0,10.0,1.0,0.0,0.0,0.0
St Pauli,Ein Frankfurt,D1,2010,30/10/10,A,1,3,1.0,1.0,D,14.0,8.0,3.0,4.0,6.0,4.0,22.0,18.0,2.0,2.0,1.0,0.0
Werder Bremen,Nurnberg,D1,2010,30/10/10,A,2,3,1.0,1.0,D,12.0,17.0,6.0,8.0,4.0,2.0,23.0,15.0,2.0,2.0,0.0,0.0
Wolfsburg,Stuttgart,D1,2010,30/10/10,H,2,0,1.0,0.0,H,18.0,12.0,9.0,6.0,7.0,4.0,12.0,14.0,0.0,2.0,0.0,0.0
Hoffenheim,Hannover,D1,2010,31/10/10,H,4,0,1.0,0.0,H,18.0,5.0,7.0,2.0,4.0,2.0,10.0,15.0,1.0,1.0,0.0,1.0
Mainz,Dortmund,D1,2010,31/10/10,A,0,2,0.0,1.0,A,11.0,17.0,4.0,8.0,5.0,8.0,13.0,25.0,1.0,0.0,0.0,0.0
Schalke 04,St Pauli,D1,2010,05/11/10,H,3,0,1.0,0.0,H,13.0,6.0,6.0,0.0,5.0,3.0,15.0,11.0,1.0,2.0,0.0,0.0
Ein Frankfurt,Wolfsburg,D1,2010,06/11/10,H,3,1,2.0,0.0,H,15.0,13.0,8.0,7.0,3.0,4.0,18.0,25.0,1.0,2.0,0.0,0.0
Freiburg,Mainz,D1,2010,06/11/10,H,1,0,0.0,0.0,D,14.0,6.0,4.0,1.0,3.0,9.0,18.0,17.0,2.0,1.0,0.0,0.0
Hamburg,Hoffenheim,D1,2010,06/11/10,H,2,1,1.0,1.0,D,18.0,13.0,2.0,6.0,8.0,6.0,15.0,27.0,1.0,4.0,0.0,0.0
M'gladbach,Bayern Munich,D1,2010,06/11/10,D,3,3,1.0,2.0,A,9.0,16.0,4.0,6.0,2.0,9.0,14.0,8.0,1.0,0.0,0.0,0.0
Nurnberg,FC Koln,D1,2010,06/11/10,H,3,1,2.0,1.0,H,20.0,7.0,6.0,4.0,13.0,7.0,8.0,15.0,1.0,1.0,0.0,0.0
Hannover,Dortmund,D1,2010,07/11/10,A,0,4,0.0,1.0,A,7.0,19.0,2.0,13.0,2.0,4.0,18.0,10.0,0.0,2.0,1.0,0.0
Leverkusen,Kaiserslautern,D1,2010,07/11/10,H,3,1,1.0,1.0,D,25.0,12.0,7.0,4.0,6.0,2.0,14.0,20.0,1.0,3.0,0.0,0.0
Stuttgart,Werder Bremen,D1,2010,07/11/10,H,6,0,3.0,0.0,H,16.0,11.0,12.0,4.0,5.0,7.0,10.0,15.0,1.0,0.0,0.0,0.0
Dortmund,Hamburg,D1,2010,12/11/10,H,2,0,0.0,0.0,D,11.0,7.0,4.0,1.0,4.0,0.0,22.0,17.0,0.0,1.0,0.0,0.0
FC Koln,M'gladbach,D1,2010,13/11/10,A,0,4,0.0,0.0,D,17.0,19.0,3.0,4.0,6.0,7.0,16.0,19.0,0.0,2.0,0.0,0.0
Kaiserslautern,Stuttgart,D1,2010,13/11/10,D,3,3,0.0,2.0,A,16.0,12.0,5.0,7.0,3.0,4.0,17.0,18.0,3.0,2.0,0.0,0.0
Mainz,Hannover,D1,2010,13/11/10,A,0,1,0.0,1.0,A,12.0,12.0,2.0,5.0,3.0,7.0,14.0,22.0,0.0,1.0,0.0,1.0
St Pauli,Leverkusen,D1,2010,13/11/10,A,0,1,0.0,0.0,D,8.0,23.0,1.0,8.0,1.0,3.0,22.0,16.0,3.0,4.0,0.0,0.0
Werder Bremen,Ein Frankfurt,D1,2010,13/11/10,D,0,0,0.0,0.0,D,18.0,13.0,7.0,1.0,10.0,3.0,14.0,9.0,1.0,1.0,0.0,0.0
Wolfsburg,Schalke 04,D1,2010,13/11/10,D,2,2,2.0,1.0,H,17.0,13.0,4.0,5.0,7.0,7.0,12.0,20.0,2.0,3.0,1.0,0.0
Bayern Munich,Nurnberg,D1,2010,14/11/10,H,3,0,1.0,0.0,H,13.0,12.0,7.0,2.0,3.0,2.0,16.0,9.0,1.0,1.0,0.0,0.0
Hoffenheim,Freiburg,D1,2010,14/11/10,A,0,1,0.0,0.0,D,12.0,10.0,7.0,3.0,3.0,6.0,16.0,20.0,0.0,1.0,0.0,0.0
Ein Frankfurt,Hoffenheim,D1,2010,20/11/10,A,0,4,0.0,1.0,A,8.0,18.0,3.0,9.0,2.0,6.0,12.0,21.0,4.0,4.0,0.0,0.0
Freiburg,Dortmund,D1,2010,20/11/10,A,1,2,1.0,0.0,H,9.0,18.0,2.0,8.0,3.0,6.0,8.0,10.0,0.0,1.0,0.0,0.0
Hannover,Hamburg,D1,2010,20/11/10,H,3,2,1.0,1.0,D,14.0,11.0,5.0,4.0,6.0,4.0,18.0,20.0,2.0,4.0,0.0,0.0
Leverkusen,Bayern Munich,D1,2010,20/11/10,D,1,1,1.0,1.0,D,17.0,8.0,8.0,1.0,4.0,5.0,23.0,14.0,2.0,2.0,0.0,0.0
M'gladbach,Mainz,D1,2010,20/11/10,A,2,3,0.0,0.0,D,8.0,16.0,4.0,8.0,3.0,4.0,20.0,13.0,1.0,1.0,0.0,0.0
Nurnberg,Kaiserslautern,D1,2010,20/11/10,A,1,3,0.0,3.0,A,18.0,10.0,6.0,7.0,8.0,4.0,12.0,18.0,1.0,3.0,0.0,1.0
Schalke 04,Werder Bremen,D1,2010,20/11/10,H,4,0,2.0,0.0,H,14.0,10.0,8.0,2.0,8.0,2.0,19.0,14.0,1.0,1.0,0.0,1.0
St Pauli,Wolfsburg,D1,2010,21/11/10,D,1,1,1.0,0.0,H,18.0,3.0,5.0,2.0,2.0,4.0,14.0,27.0,0.0,3.0,0.0,0.0
Stuttgart,FC Koln,D1,2010,21/11/10,A,0,1,0.0,0.0,D,20.0,18.0,5.0,8.0,10.0,9.0,16.0,15.0,4.0,3.0,0.0,0.0
Mainz,Nurnberg,D1,2010,26/11/10,H,3,0,1.0,0.0,H,10.0,13.0,4.0,3.0,1.0,4.0,17.0,15.0,4.0,2.0,0.0,0.0
Bayern Munich,Ein Frankfurt,D1,2010,27/11/10,H,4,1,1.0,1.0,D,25.0,8.0,8.0,4.0,15.0,7.0,11.0,11.0,1.0,0.0,0.0,0.0
Dortmund,M'gladbach,D1,2010,27/11/10,H,4,1,1.0,1.0,D,22.0,8.0,8.0,4.0,7.0,1.0,15.0,13.0,1.0,1.0,0.0,0.0
Hamburg,Stuttgart,D1,2010,27/11/10,H,4,2,3.0,1.0,H,15.0,14.0,8.0,3.0,6.0,7.0,9.0,16.0,2.0,3.0,0.0,1.0
Hannover,Freiburg,D1,2010,27/11/10,H,3,0,1.0,0.0,H,12.0,13.0,8.0,2.0,7.0,4.0,18.0,15.0,0.0,1.0,0.0,0.0
Hoffenheim,Leverkusen,D1,2010,27/11/10,D,2,2,1.0,2.0,A,15.0,7.0,6.0,2.0,5.0,2.0,18.0,19.0,1.0,3.0,0.0,0.0
Kaiserslautern,Schalke 04,D1,2010,27/11/10,H,5,0,2.0,0.0,H,15.0,6.0,8.0,3.0,8.0,2.0,19.0,16.0,3.0,2.0,0.0,0.0
FC Koln,Wolfsburg,D1,2010,28/11/10,D,1,1,0.0,0.0,D,13.0,11.0,3.0,1.0,3.0,2.0,10.0,16.0,2.0,2.0,0.0,0.0
Werder Bremen,St Pauli,D1,2010,28/11/10,H,3,0,2.0,0.0,H,14.0,16.0,8.0,4.0,5.0,10.0,14.0,16.0,2.0,0.0,1.0,1.0
St Pauli,Kaiserslautern,D1,2010,03/12/10,H,1,0,0.0,0.0,D,16.0,12.0,6.0,4.0,2.0,3.0,11.0,15.0,1.0,3.0,0.0,0.0
Ein Frankfurt,Mainz,D1,2010,04/12/10,H,2,1,1.0,1.0,D,15.0,10.0,4.0,2.0,2.0,5.0,21.0,27.0,0.0,2.0,0.0,0.0
Freiburg,Hamburg,D1,2010,04/12/10,H,1,0,1.0,0.0,H,10.0,12.0,4.0,6.0,8.0,4.0,16.0,15.0,1.0,0.0,0.0,0.0
M'gladbach,Hannover,D1,2010,04/12/10,A,1,2,1.0,0.0,H,15.0,12.0,3.0,4.0,1.0,3.0,11.0,17.0,2.0,1.0,1.0,0.0
Schalke 04,Bayern Munich,D1,2010,04/12/10,H,2,0,0.0,0.0,D,12.0,17.0,4.0,5.0,4.0,9.0,13.0,7.0,0.0,1.0,0.0,0.0
Stuttgart,Hoffenheim,D1,2010,04/12/10,D,1,1,1.0,1.0,D,19.0,11.0,5.0,7.0,4.0,2.0,18.0,19.0,3.0,2.0,0.0,1.0
Wolfsburg,Werder Bremen,D1,2010,04/12/10,D,0,0,0.0,0.0,D,11.0,15.0,4.0,7.0,2.0,7.0,19.0,16.0,3.0,1.0,0.0,0.0
Leverkusen,FC Koln,D1,2010,05/12/10,H,3,2,1.0,1.0,D,11.0,14.0,5.0,5.0,5.0,0.0,9.0,19.0,1.0,1.0,0.0,0.0
Nurnberg,Dortmund,D1,2010,05/12/10,A,0,2,0.0,1.0,A,7.0,16.0,1.0,7.0,3.0,6.0,13.0,17.0,2.0,2.0,0.0,0.0
Hannover,Stuttgart,D1,2010,10/12/10,H,2,1,1.0,0.0,H,16.0,22.0,8.0,3.0,5.0,3.0,15.0,18.0,2.0,3.0,0.0,0.0
Bayern Munich,St Pauli,D1,2010,11/12/10,H,3,0,1.0,0.0,H,22.0,9.0,10.0,1.0,13.0,4.0,13.0,21.0,0.0,1.0,0.0,1.0
Dortmund,Werder Bremen,D1,2010,11/12/10,H,2,0,1.0,0.0,H,11.0,8.0,5.0,2.0,3.0,5.0,20.0,22.0,2.0,5.0,0.0,0.0
FC Koln,Ein Frankfurt,D1,2010,11/12/10,H,1,0,0.0,0.0,D,10.0,14.0,5.0,3.0,7.0,6.0,20.0,14.0,5.0,3.0,0.0,0.0
Hamburg,Leverkusen,D1,2010,11/12/10,A,2,4,0.0,1.0,A,8.0,16.0,3.0,8.0,3.0,4.0,23.0,18.0,3.0,3.0,0.0,0.0
Hoffenheim,Nurnberg,D1,2010,11/12/10,D,1,1,0.0,0.0,D,19.0,11.0,4.0,4.0,11.0,5.0,18.0,23.0,1.0,3.0,0.0,0.0
Kaiserslautern,Wolfsburg,D1,2010,11/12/10,D,0,0,0.0,0.0,D,18.0,5.0,2.0,0.0,5.0,0.0,15.0,16.0,1.0,3.0,0.0,0.0
Freiburg,M'gladbach,D1,2010,12/12/10,H,3,0,2.0,0.0,H,22.0,14.0,8.0,6.0,7.0,2.0,14.0,14.0,1.0,2.0,0.0,0.0
Mainz,Schalke 04,D1,2010,12/12/10,A,0,1,0.0,1.0,A,7.0,10.0,4.0,2.0,1.0,10.0,11.0,20.0,3.0,2.0,0.0,0.0
M'gladbach,Hamburg,D1,2010,17/12/10,A,1,2,0.0,0.0,D,18.0,15.0,8.0,9.0,5.0,8.0,12.0,11.0,1.0,0.0,0.0,0.0
Ein Frankfurt,Dortmund,D1,2010,18/12/10,H,1,0,0.0,0.0,D,12.0,9.0,4.0,1.0,3.0,8.0,18.0,14.0,2.0,2.0,0.0,0.0
Nurnberg,Hannover,D1,2010,18/12/10,H,3,1,2.0,0.0,H,19.0,5.0,9.0,1.0,6.0,3.0,24.0,23.0,1.0,4.0,0.0,0.0
Schalke 04,FC Koln,D1,2010,18/12/10,H,3,0,1.0,0.0,H,16.0,6.0,6.0,1.0,6.0,6.0,10.0,13.0,0.0,1.0,0.0,0.0
St Pauli,Mainz,D1,2010,18/12/10,A,2,4,1.0,3.0,A,14.0,20.0,6.0,7.0,11.0,8.0,21.0,18.0,2.0,1.0,0.0,0.0
Werder Bremen,Kaiserslautern,D1,2010,18/12/10,A,1,2,1.0,1.0,D,22.0,17.0,5.0,7.0,8.0,2.0,16.0,15.0,2.0,2.0,1.0,1.0
Wolfsburg,Hoffenheim,D1,2010,18/12/10,D,2,2,0.0,2.0,A,13.0,15.0,5.0,7.0,4.0,3.0,22.0,15.0,2.0,1.0,0.0,0.0
Leverkusen,Freiburg,D1,2010,19/12/10,D,2,2,1.0,1.0,D,14.0,8.0,6.0,4.0,3.0,1.0,17.0,15.0,3.0,1.0,0.0,0.0
Stuttgart,Bayern Munich,D1,2010,19/12/10,A,3,5,0.0,3.0,A,12.0,10.0,7.0,9.0,3.0,4.0,20.0,16.0,3.0,1.0,0.0,0.0
